  0.42184608    0.42254052 5.374e-10 3.795e-11 PC  
  0.42254052    0.42300348 8.010e-10 5.656e-11 PC  
  0.42300355    0.42340865 9.110e-10 6.433e-11 PC  
  0.42340859    0.42384261 8.467e-10 5.976e-11 PC  
  0.42384262    0.42439238 7.339e-10 4.933e-11 PC  
  0.42439242    0.42485538 8.256e-10 5.684e-11 PC  
  0.42485533    0.42586807 6.927e-10 3.557e-11 PC  
  0.47385278    0.47399862 1.657e-09 1.169e-10 WT  
  0.47399857    0.47421523 1.093e-09 7.724e-11 WT  
  0.47421525    0.47442775 1.123e-09 7.972e-11 WT  
  0.47442773    0.47462148 1.237e-09 8.689e-11 WT  
  0.47462153    0.47485487 1.014e-09 7.169e-11 WT  
  0.47485478    0.47501102 1.514e-09 1.070e-10 WT  
  0.47501108    0.47519233 1.305e-09 9.226e-11 WT  
  0.47519236    0.47539444 1.170e-09 8.273e-11 WT  
  0.47539438    0.47555063 1.526e-09 1.083e-10 WT  
  0.47555066    0.47590274 1.237e-09 6.450e-11 WT  
  0.47592272    0.47629888 7.188e-10 4.753e-11 PC  
  0.47629886    0.47661714 8.103e-10 5.486e-11 PC  
  0.47661715    0.47710905 4.991e-10 3.463e-11 PC  
  0.47710909    0.47745631 7.074e-10 4.904e-11 PC  
  0.47745632    0.47783248 6.852e-10 4.637e-11 PC  
  0.47783249    0.47817971 7.064e-10 4.901e-11 PC  
  0.47817966    0.47849794 8.096e-10 5.477e-11 PC  
  0.47849796    0.47872944 1.113e-09 7.529e-11 PC  
  0.47872946    0.47904774 8.863e-10 5.729e-11 PC  
  0.47904772    0.47933708 8.899e-10 6.020e-11 PC  
  0.47933705    0.47974215 6.340e-10 4.299e-11 PC  
  0.47974215    0.48014725 6.049e-10 4.194e-11 PC  
  0.48014723    0.48034977 1.271e-09 8.592e-11 PC  
  0.48034986    0.48058134 1.111e-09 7.517e-11 PC  
  0.48058126    0.48081274 1.057e-09 7.334e-11 PC  
  0.48081276    0.48104424 1.058e-09 7.333e-11 PC  
  0.48104429    0.48139151 7.755e-10 5.126e-11 PC  
  0.48139152    0.48185448 6.609e-10 4.097e-11 PC  
  0.48185442    0.48240418 4.444e-10 3.084e-11 PC  
  0.48240418    0.48309862 4.050e-10 2.617e-11 PC  
  0.48309865    0.48350375 6.029e-10 4.181e-11 PC  
  0.48350374    0.48425606 3.407e-10 2.306e-11 PC  
  0.48425608    0.48503732 3.125e-10 2.166e-11 PC  
  0.48503734    0.48587646 2.906e-10 2.015e-11 PC  
  0.48587643    0.48714957 1.911e-10 1.327e-11 PC  
  0.48714954    0.48790186 3.236e-10 2.243e-11 PC  
  0.48790194    0.48882786 2.625e-10 1.821e-11 PC  
  0.48882780    0.48998520 2.100e-10 1.456e-11 PC  
  0.48998523    0.49108477 2.205e-10 1.531e-11 PC  
  0.49108480    0.49224220 2.200e-10 1.489e-11 PC  
  0.49224217    0.49319703 2.559e-10 1.773e-11 PC  
  0.55761348    0.55771972 2.066e-09 1.484e-10 WT  
  0.55771967    0.55782592 2.075e-09 1.464e-10 WT  
  0.55782593    0.55793427 2.035e-09 1.435e-10 WT  
  0.55793428    0.55804053 2.087e-09 1.467e-10 WT  
  0.55804053    0.55813428 2.351e-09 1.658e-10 WT  
  0.55813426    0.55823634 2.184e-09 1.531e-10 WT  
  0.55823638    0.55834262 2.074e-09 1.463e-10 WT  
  0.55834260    0.55844260 2.205e-09 1.567e-10 WT  
  0.55844265    0.55855515 1.982e-09 1.405e-10 WT  
  0.55855517    0.55864683 2.432e-09 1.729e-10 WT  
  0.55864682    0.55874057 2.402e-09 1.689e-10 WT  
  0.55874057    0.55882182 2.863e-09 1.986e-10 WT  
  0.55882182    0.55890098 2.839e-09 2.024e-10 WT  
  0.55890092    0.55896968 3.355e-09 2.346e-10 WT  
  0.55896977    0.55903643 3.494e-09 2.455e-10 WT  
  0.55903640    0.55911140 3.065e-09 2.173e-10 WT  
  0.55911138    0.55918222 3.238e-09 2.284e-10 WT  
  0.55918218    0.55926343 2.866e-09 2.010e-10 WT  
  0.55926342    0.55933217 3.383e-09 2.398e-10 WT  
  0.55933223    0.55940098 3.375e-09 2.380e-10 WT  
  0.55940098    0.55947182 3.328e-09 2.370e-10 WT  
  0.55947179    0.55955721 3.224e-09 2.290e-10 WT  
