wave flambda eflambda flambda0 eflambda0 freq nufnu0 fnu0 fnu0_Jy fnu0_uJy
3322.4922 7.29784e-18 2.7854e-18 7.942368078494739e-18 3.0313999821644823e-18 902311999408155.1 2.638845599032776e-14 2.924537854715053e-29 2.924537854715053e-06 2.924537854715053
3324.5132 -2.20603e-19 2.57499e-18 -2.400763252249766e-19 2.8022925195535075e-18 901763476228640.1 -7.9813691221792755e-16 -8.85084540744431e-31 -8.85084540744431e-08 -0.0885084540744431
3326.5344 4.90466e-18 2.48257e-18 5.337392997493864e-18 2.7016045421677223e-18 901215565364362.4 1.775502141248245e-14 1.9701192583490362e-29 1.970119258349036e-06 1.9701192583490361
3328.5562 6.22894e-18 2.39065e-18 6.778239007218601e-18 2.6014694446578633e-18 900668157563330.2 2.256174947255932e-14 2.5050013462891737e-29 2.505001346289174e-06 2.505001346289174
3330.5786 5.52013e-18 2.26416e-18 6.006681352531477e-18 2.4637259722411733e-18 900121252205247.5 2.000572436976039e-14 2.22255882979626e-29 2.2225588297962603e-06 2.2225588297962604
3332.6013 2.55419e-18 2.16031e-18 2.779208626515516e-18 2.3506286485922086e-18 899574929650300.5 9.261994281696821e-15 1.029596754691387e-29 1.029596754691387e-06 1.029596754691387
3334.6245 -1.03505e-18 2.05753e-18 -1.1261909689544578e-18 2.238705090916251e-18 899029135064532.8 -3.755423996754274e-15 -4.177199436906689e-30 -4.1771994369066893e-07 -0.41771994369066895
3336.6482 6.73871e-18 2.1001e-18 7.331795446918307e-18 2.284933409817775e-18 898483867732894.2 2.4463622080728168e-14 2.7227669810540034e-29 2.7227669810540034e-06 2.7227669810540034
3338.6726 -4.95919e-19 2.00109e-18 -5.395445139980404e-19 2.177123948701983e-18 897939073151407.5 -1.801362485365574e-15 -2.0061076961975952e-30 -2.0061076961975953e-07 -0.20061076961975954
3340.6973 2.57275e-18 1.97125e-18 2.798963156910817e-18 2.1445753077681264e-18 897394858253095.9 9.350488661091442e-15 1.0419592418095053e-29 1.0419592418095054e-06 1.0419592418095054
3342.7224 -1.60305e-18 1.91514e-18 -1.7439331150453972e-18 2.0834509628196514e-18 896851195301171.2 -5.829484287764026e-15 -6.49994594232149e-30 -6.49994594232149e-07 -0.649994594232149
3344.748 1.77082e-18 1.87273e-18 1.9263732257920794e-18 2.0372352532372575e-18 896308056690668.5 6.443232994221606e-15 7.188636703781497e-30 7.188636703781498e-07 0.7188636703781498
3346.7744 7.53549e-19 1.85635e-18 8.197111962714053e-19 2.0193389934807467e-18 895765361417847.6 2.7433884470745145e-15 3.0626194818832767e-30 3.062619481883277e-07 0.3062619481883277
3348.801 7.19972e-19 1.79488e-18 7.831562703962737e-19 1.952397491303639e-18 895223269462712.1 2.6226345014593116e-15 2.9295870548956387e-30 2.929587054895639e-07 0.2929587054895639
3350.8281 3.07288e-18 1.79819e-18 3.342427324190271e-18 1.955923885763747e-18 894681699726703.4 1.1199899400104571e-14 1.2518306123312662e-29 1.2518306123312662e-06 1.2518306123312661
3352.8557 3.48874e-18 1.82269e-18 3.7946228877021674e-18 1.982498320650396e-18 894140651504924.6 1.2722822978382672e-14 1.4229106972117796e-29 1.4229106972117797e-06 1.4229106972117798
3354.8838 2.78852e-18 1.7482e-18 3.0328960176478048e-18 1.90140605699507e-18 893600124093716.6 1.0175013716691135e-14 1.1386540178707526e-29 1.1386540178707526e-06 1.1386540178707525
3356.9124 1.132e-18 1.72001e-18 1.2311586423928784e-18 1.8706759509736527e-18 893060116790655.5 4.13289171301582e-15 4.62778668010389e-30 4.62778668010389e-07 0.462778668010389
3358.9414 4.12288e-18 1.75389e-18 4.483861754282146e-18 1.907453113410507e-18 892520655466034.6 1.5061028878334928e-14 1.6874711846831967e-29 1.6874711846831967e-06 1.6874711846831967
3360.9709 2.84917e-18 1.71902e-18 3.0985171448481352e-18 1.869461261468021e-18 891981712784243.5 1.0414025956985667e-14 1.1675156348754268e-29 1.1675156348754268e-06 1.1675156348754268
3363.0012 3.55213e-18 1.78682e-18 3.862855861570571e-18 1.9431237343710755e-18 891443208524576.1 1.2990788897888865e-14 1.457276108411871e-29 1.4572761084118712e-06 1.4572761084118713
3365.0315 -9.53681e-20 1.95942e-18 -1.0370674134370767e-19 2.1307445898962826e-18 890905354080637.9 -3.489764513839286e-16 -3.917099047452149e-31 -3.917099047452149e-08 -0.039170990474521494
3367.0625 3.41358e-18 2.48669e-18 3.7119168443891696e-18 2.7040193866187713e-18 890367963172646.9 1.2498256009861109e-14 1.4037180723940347e-29 1.4037180723940348e-06 1.4037180723940348
3369.094 2.14589e-18 2.84897e-18 2.333350574351027e-18 3.0978502093811174e-18 889831088120426.4 7.861277419942599e-15 8.834572678897776e-30 8.834572678897776e-07 0.8834572678897776
3371.126 -5.79375e-20 2.99271e-18 -6.299654975952302e-20 3.254030712937599e-18 889294728230270.8 -2.1236930680462181e-16 -2.3880643847652684e-31 -2.3880643847652683e-08 -0.023880643847652684
3373.1582 5.41261e-18 2.92243e-18 5.885025021972435e-18 3.1775009976634014e-18 888758961853612.5 1.9851120410071497e-14 2.233577523501943e-29 2.2335775235019432e-06 2.233577523501943
3375.1912 5.19778e-19 2.72261e-18 5.651244828337042e-19 2.9601359969215157e-18 888223630116124.9 1.9074031813648698e-15 2.147435754569487e-30 2.1474357545694873e-07 0.21474357545694872
3377.2246 6.07595e-18 2.5969e-18 6.60579601601192e-18 2.8233595855761414e-18 887688837751566.8 2.230925680785745e-14 2.513184334317498e-29 2.513184334317498e-06 2.513184334317498
3379.2583 2.45115e-18 2.46419e-18 2.6648065229060044e-18 2.6789831653222967e-18 887154610229114.5 9.005069560424256e-15 1.0150507540166677e-29 1.0150507540166678e-06 1.0150507540166678
3381.2927 5.99847e-18 2.3465e-18 6.521105031188958e-18 2.5509459838400275e-18 886620841786338.0 2.2049764837892494e-14 2.4869441139537467e-29 2.486944113953747e-06 2.4869441139537467
3383.3274 1.61181e-18 2.25097e-18 1.7521833388613125e-18 2.447008102863643e-18 886087636685707.6 5.9282099001929634e-15 6.690320070785143e-30 6.690320070785144e-07 0.6690320070785144
3385.3628 2.52311e-18 2.14632e-18 2.7427546775817626e-18 2.333163920553321e-18 885554889419828.2 9.285219655011292e-15 1.0485199467527653e-29 1.0485199467527653e-06 1.0485199467527653
3387.3984 6.97105e-18 2.09808e-18 7.577643014979271e-18 2.2806465678581718e-18 885022730128230.5 2.566849582471196e-14 2.9003205173038736e-29 2.9003205173038737e-06 2.9003205173038737
