###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57515.450774  20.810  0.848    17   15 c  0   1.06 236.97569  44.65204  2508.12  9296.95 3.88 3.74 -46.3 -0.421 19.67 21.68 02a57515o0476c
57515.459217  20.932  1.049    15   16 c  0   0.95 236.97569  44.65204  2536.13  9246.13 3.91 3.72 -47.1 -0.427 19.66 21.69 02a57515o0493c
57523.394083  20.944  2.138    15   32 o  0   0.89 236.97569  44.65204  7225.96   606.51 4.50 3.47   7.3 -0.526 18.90 20.26 02a57523o0297o
57523.407609 -21.229  3.000   -12   35 o  0   0.94 236.97569  44.65204  7227.85   648.58 4.88 3.45   8.0 -0.506 18.88 20.26 02a57523o0322o
57523.412971  20.968  1.968    15   29 o  0   0.90 236.97569  44.65204  1204.89 10301.36 4.25 3.85 -44.1 -0.403 18.87 20.25 02a57523o0332o
57523.420388  19.558  0.663    54   36 o  0   0.98 236.97569  44.65204  7173.71   569.22 4.95 3.65   8.6 -0.524 18.89 20.30 02a57523o0346o
57523.424325 -21.360  2.864   -10   30 o  0   0.92 236.97569  44.65204  1222.20 10332.45 4.15 3.82 -46.7 -0.426 18.92 20.29 02a57523o0353o
57523.428903 -21.293  2.652   -11   29 o  0   1.10 236.97569  44.65204  1156.97 10256.25 4.15 3.85 -48.0 -0.424 18.88 20.25 02a57523o0362o
57523.432654 -20.030  0.800   -35   28 o  0   1.04 236.97569  44.65204  3353.05  9854.91 4.06 3.84 -51.3 -0.436 18.88 20.34 02a57523o0369o
57523.440275  21.595  4.056     8   34 o  0   0.81 236.97569  44.65204  1142.66 10365.35 4.07 3.81 -35.2 -0.426 18.93 20.29 02a57523o0384o
57523.451452  19.851  0.713    42   30 o  0   0.87 236.97569  44.65204  1191.23 10305.04 4.14 3.86 -36.7 -0.424 18.93 20.33 02a57523o0407o
57523.453080 -20.405  1.107   -25   28 o  0   1.03 236.97569  44.65204  3329.20  9917.20 3.92 3.72 -53.9 -0.446 18.92 20.36 02a57523o0410o
57527.399458  22.589 18.000     3   60 o  0   1.23 236.97569  44.65204  8904.31   355.66 5.24 4.02  21.3 -0.496 18.44 19.49 02a57527o0186o
57527.401874 -20.781  2.556   -18   45 o  0   0.83 236.97569  44.65204  3067.22 10133.21 4.23 3.89 -43.7 -0.437 18.46 19.52 02a57527o0191o
57527.407754  20.974  4.333    15   64 o  0   0.82 236.97569  44.65204  8927.84   396.61 5.60 4.02  18.7 -0.479 18.43 19.49 02a57527o0202o
57527.412657 -19.048  0.508   -87   44 o  0   0.82 236.97569  44.65204  3074.98 10168.90 4.21 3.87 -46.6 -0.430 18.48 19.53 02a57527o0211o
57527.417158 -19.319  0.677   -68   46 o  0   0.84 236.97569  44.65204  1639.86 10219.54 4.67 4.08 -46.5 -0.399 18.41 19.51 02a57527o0219o
57527.428296 -19.686  1.051   -48   51 o  0   0.94 236.97569  44.65204  7474.60   439.66 5.11 3.84  11.3 -0.518 18.45 19.55 02a57527o0241o
57527.438177  19.775  0.918    45   41 o  0   1.19 236.97569  44.65204  2993.71 10200.86 4.54 4.00 -37.0 -0.414 18.42 19.53 02a57527o0258o
57527.439879 -21.654  5.929    -8   47 o  0   0.86 236.97569  44.65204  1677.84 10128.25 4.81 4.13 -42.5 -0.403 18.38 19.51 02a57527o0261o
57527.445887 -19.256  0.614   -72   44 o  0   0.91 236.97569  44.65204  1636.31 10166.56 4.66 4.08 -39.0 -0.403 18.39 19.50 02a57527o0273o
57527.446855 -19.886  1.415   -40   57 o  0   0.72 236.97569  44.65204  7474.27   385.09 5.36 3.69  10.1 -0.510 18.45 19.54 02a57527o0275o
57535.377306 -20.454  1.897   -24   45 o  0   0.96 236.97569  44.65204  9136.55  1500.41 4.26 3.69  27.6 -0.539 18.63 20.22 02a57535o0307o
57535.386584  22.772  9.000     3   25 o  0   1.17 236.97569  44.65204  9140.94  1546.10 4.53 3.68  29.5 -0.528 19.17 20.79 02a57535o0325o
57535.399975  19.458  0.455    60   27 o  0   0.89 236.97569  44.65204  1441.95  9072.77 3.96 3.62 -51.8 -0.444 19.03 20.59 02a57535o0352o
57535.412315  22.320  6.300     4   27 o  0   0.92 236.97569  44.65204  1457.44  8955.66 3.92 3.55 -57.8 -0.455 19.11 20.66 02a57535o0377o
57535.418329 -21.947  4.143    -6   25 o  0   1.04 236.97569  44.65204  1429.72  9009.86 3.94 3.58 -57.5 -0.447 19.05 20.55 02a57535o0389o
57541.406721  21.808  2.412     7   17 c  0   0.89 236.97569  44.65204  2941.58  9718.55 4.02 3.85 -53.5 -0.414 19.69 21.81 02a57541o0446c
57541.414023  21.397  1.708    10   17 c  0   1.03 236.97569  44.65204  2996.99  9797.41 4.11 3.89 -58.7 -0.407 19.65 21.77 02a57541o0461c
57541.422004  20.761  1.079    18   19 c  0   0.90 236.97569  44.65204  3007.50  9685.64 4.02 3.83 -52.8 -0.416 19.50 21.55 02a57541o0477c
57541.425404  21.126  1.462    13   19 c  0   1.10 236.97569  44.65204  8955.36    85.07 4.84 3.74  23.8 -0.442 19.70 21.79 02a57541o0484c
57541.436847 -22.215  3.333    -5   16 c  0   0.95 236.97569  44.65204  2967.30  9748.82 4.05 3.83 -53.9 -0.414 19.72 21.83 02a57541o0505c
