mjd uJy duJy filter A_mw uJy.0 duJy.0
59018.388805 50.99019607843136 5.940885257860046 o.atlas 0.04176 52.98960498102624 6.173837075805388
59019.23859950015 66.99401520922551 2.685502266975384 r.ztf 0.045239999999999995 69.84446700290187 2.799764633993025
59019.27048610011 68.65145898332193 2.284834910404957 g.ztf 0.06437999999999999 72.84533943556465 2.424414237767497
59020.377773500004 49.44335012688722 5.282007551677555 c.atlas 0.05741999999999999 52.12857937029186 5.568869204564135
59022.236446800176 35.397197938480225 2.5590668317555085 r.ztf 0.045239999999999995 36.90327286233348 2.667949641927941
59025.202106500044 26.690383214850815 2.980949098287128 r.ztf 0.045239999999999995 27.82600182900733 3.1077820948993446
59025.24142359989 28.391006929387355 2.0180079001764906 g.ztf 0.06437999999999999 30.12539816802908 2.1412869099798746
59026.355579 12.654881277260918 3.799254532899381 o.atlas 0.04176 13.151099849319705 3.948229510846488
59028.23640049994 15.710435096022032 2.393707915260013 r.ztf 0.045239999999999995 16.37888044534221 2.495555057863441
59028.3432325 31.27889908256881 5.0573227859676795 o.atlas 0.04176 32.50539582309632 5.255628675711785
59028.350463000126 15.472381402565214 3.0750005499278545 g.ztf 0.06437999999999999 16.417580803638774 3.2628506683078737
59030.3490975 5.188820615722041 4.528623954943441 o.atlas 0.04176 5.392282750228931 4.706198699666739
59031.20425930014 18.968181910749202 4.776337324426768 g.ztf 0.06437999999999999 20.126937871775475 5.068121185030475
59031.23462959984 9.341890197578955 4.527233484563186 r.ztf 0.045239999999999995 9.739367607864846 4.7198575684632615
59032.342523 0.08849678017300493 7.18515872568264 o.atlas 0.04176 0.09196688352104311 7.466900539355797
59033.22699069977 8.971738459329053 5.151149959154773 g.ztf 0.06437999999999999 9.519817103314686 5.465830920640506
59034.34320600005 17.243959472944656 5.744074383799054 r.ztf 0.045239999999999995 17.977652998496605 5.988472440538543
59034.358595000005 8.783211678832117 9.239869180986917 o.atlas 0.04176 9.127615759903314 9.602179548863534
59035.306539400015 12.809945093285231 6.288672363714434 r.ztf 0.045239999999999995 13.35498080810267 6.556241897545335
59036.20714120008 7.894881284685834 4.365259904053831 g.ztf 0.06437999999999999 8.377175307026489 4.631931267659051
59036.26797450008 10.292157364897395 4.659740359313238 r.ztf 0.045239999999999995 10.730066606938633 4.858002326800768
59036.357208500005 11.403326403326403 7.737910562629932 o.atlas 0.04176 11.850469463826427 8.041326678987044
59037.19972220017 -0.5991811614163576 5.680310160394727 r.ztf 0.045239999999999995 -0.6246750359208544 5.921995186061102
59037.21967589995 12.472447447892637 4.725166758660943 g.ztf 0.06437999999999999 13.234382508239268 5.013824637112579
59038.19934030017 3.7048931919027583 2.859744235606018 r.ztf 0.045239999999999995 3.86252845844496 2.9814202250265818
