mjd,instrument,filter,mag,emag,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
58582.8289,Swift+UVOT,B,18.606,0.193,4359.06,18.514641410108233,-0.363360422987035,-0.3710999999966589,-16.322025185214244,687745656173578.6,3379170.258186747,600679.8492782406,1.2269767207476078e-13,2.1810685327292915e-14,84.38479099202692,15.00020409201451,0.019358483478554303,0.003441155683109319,2.3162332229270057e+38,4.117326198259163e+37,2019-04-09T19:53:36.960000037,2019 04 09
58582.8299,Swift+UVOT,UVW2,18.802,0.103,2079.03,18.591991601883027,-0.36238127876245285,-0.37010000000009313,-16.24467499343945,1441982357156943.2,3146806.201510304,298526.50886572036,1.1426053317683915e-13,1.0839497536914306e-14,164.76167296034762,15.630364208676571,0.07924930037582316,0.007518104216233806,9.482140614348968e+38,8.995375478848614e+37,2019-04-09T19:55:03.359999741,2019 04 09
58582.8337,Swift+UVOT,V,18.679,0.404,5430.09,18.609860480622025,-0.35866053069051773,-0.3662999999942258,-16.22680611470045,552094823474380.7,3095440.3958054893,1151806.4097199426,1.1239544077169732e-13,4.1822090736931114e-14,62.05294103217544,23.089759802735514,0.011427608203947897,0.004252187312316281,1.3673078167460894e+38,5.087721635740028e+37,2019-04-09T20:00:31.680000247,2019 04 09
58582.8346,Swift+UVOT,UVM2,18.55,0.068,2255.08,18.344704768400202,-0.35777930088625653,-0.36539999999513384,-16.491961826922275,1329409413413271.2,3951706.949947404,247496.64920337225,1.4348647935259024e-13,8.986603332574447e-15,190.75227634886244,11.946875064935544,0.08458780901292302,0.0052977610838354046,1.0120890601135481e+39,6.338745616671485e+37,2019-04-09T20:01:49.440000169,2019 04 09
58583.1637,LT+IOO,g,18.48,0.02,4795.5,18.399165092090456,-0.035542935474156004,-0.03629999999975553,-16.43750150323202,625153702429360.8,3758379.2464616057,69231.9042137655,1.364667504390209e-13,2.5138104420018257e-15,85.3126942954575,1.5715179050230292,0.01779015624970441,0.00032770678866083394,2.1285836254826892e+38,3.9209959401821295e+36,2019-04-10T03:55:43.679999770,2019 04 10
58583.1645,LT+IOO,r,18.63,0.01,6187.58,18.570238305537234,-0.034759620090215756,-0.035499999998137355,-16.266428289785242,484506799104011.56,3210489.9585676407,29569.705279219685,1.1657289039559105e-13,1.0736759986884667e-15,56.48035798787059,0.5202033213993519,0.009128020645853564,8.407217707073717e-05,1.0921632731671286e+38,1.0059195487640854e+36,2019-04-10T03:56:52.799999909,2019 04 10
58583.1654,LT+IOO,u,18.32,0.03,3479.24,18.21109082354261,-0.03387839028595456,-0.034599999999045394,-16.625575771779868,861660759246272.2,4469205.336951998,123488.70703674122,1.6227684578472704e-13,4.483874952504074e-15,139.82759014695813,3.863579095940003,0.04018911893027159,0.0011104663937928983,4.808608720284503e+38,1.328667690884193e+37,2019-04-10T03:58:10.559999831,2019 04 10
58583.4082,P48+ZTF,g,18.516,0.037,4813.97,18.435573987557557,0.2038578282590257,0.20820000000094296,-16.40109260776492,622755143883322.9,3634436.1463026833,123855.25768034623,1.3196637647225042e-13,4.4971844063733716e-15,82.18273976773706,2.800644722060885,0.017071718304795636,0.0005817744443901571,2.0426228714570654e+38,6.960903202150085e+36,2019-04-10T09:47:48.479999830,2019 04 10
58583.5747,Swift+UVOT,UVW1,18.873,0.101,2614.22,18.727418116121292,0.366885342211204,0.3747000000003027,-16.109248479201185,1146775933165533.2,2777789.8820319423,258402.34198299216,1.0086155061657983e-13,9.382589037402446e-15,115.665598828851,10.759727298875893,0.04424478384713261,0.004115846141057713,5.2938670739101724e+38,4.924590081105739e+37,2019-04-10T13:47:34.079999775,2019 04 10
58583.5766,Swift+UVOT,U,18.512,0.107,3475.49,18.403024252059296,0.36874571624717156,0.37660000000323635,-16.43364234326318,862590477889448.6,3745044.1101578986,369076.50130002236,1.359825516398333e-13,1.3401167762203812e-14,117.29725420363044,11.559719704276059,0.033749846555055675,0.003326069044732127,4.038152882487386e+38,3.979625589831056e+37,2019-04-10T13:50:18.240000028,2019 04 10
